,warriors,india_warriors_count,up_warriors_count
1,MBBS doctors,927000,65233
2,MBBS Students,153656,12556
3,Nurses,1748363,89967
4,Dentists,217000,14494
5,Pharmacists,1125222,84300
6,AYUSH,832445,96320
7,CPSEs Hospitals,201,13
8,ESIC Hospitals,49,6
9,Railway Hospitals,50,8
10,Ordnance and HAL Hospitals,13,1
11,Port Hospitals,12,0
12,LAB volunteers,43736,3998
13,Ex-Servicemen,179918,20486
14,NYKS,2417773,252179
15,NSS,1791672,116909
16,NCC,62024,5246
17,PMKVY - Trained Health Professionals,108189,18675
18,Trained Healthcare Workers under DAY NULM,45385,1568
19,Trained Workers under DDU GKY,43944,3936
20,Psycho Social Care,116346,23180
21,Panchayat Secretary,237917,58755
22,Gram Rozgaar Sewak,172959,36669
23,ASHA,1007045,163899
24,Anganwadi,2543113,322872
25,Veterinary Doctors and Para Vet,83256,5650
26,Allied and Healthcare Professionals,5813,401
27,Postmen and Gramin Dak Sewak Delivery Agents,105731,11043
28,Civil Defence,57394,57394
29,Home Guards,108694,108694
30,Fire Services,23211,23211
